Category,Model,Style No.,Process,Man stt,Man asy,Mini Line,Shift
Running,Vomero 18,HM6803-007,Cutting No-sew,3,6,1,1
,,,Cutting Stitching,2.5,5,1,1
,,,HF Welding,20,40,1,2
,,,No-sew,18,36,1,2
,,,Stitching,44,88,2,1
,,,Stockfit,70,70,1,1
,,,Assembly,85,85,1,1
SUB TOTAL,,,,242.5,330,,
Jordan,AJ1 Low,553558-065,Cutting Stitching,11.3,22.5,1,1
,,,Pre-Folding,12,24,1,1
,,,Pre-Stitching,24.5,49,2,1
,,,Stitching,66,132,2,1
,,,Stockfit,21,21,1,1
,,,Assembly,94,94,1,1
SUB TOTAL,,,,228.8,342.5,,
NSW,Air Max 90,CN8490-002/100,Cutting Stitching,10,20,1,1
,,,Pre-Stitching,30,60,2,1
,,,Stitching,61.5,123,2,1
,,,Stockfit,26,26,1,1
,,,Assembly,74,74,1,1
SUB TOTAL,,,,201.5,303,,
Kids,CB2,DV5457-104,Cutting Stitching,5.5,11,1,1
,,,Prefit Stitching,34.5,69,1,1
,,,Stitching,45,90,2,1
,,,Assembly,107,107,1,1
SUB TOTAL,,,,192,277,,
ETC,OS Degreasing,,TM,,4,1,1
,CE Mixing,,TM,,2,0.5,1
SUB TOTAL,,,,,6,,
